#DAY  CASES
1       1
2	    1
3       1
4	    1
5	    2
6	    2
7	    2
8	    2
9	    3
10	    8
11	    13
12	    19
13	    25
14	    25
15	    34
16	    52
17	    77
18	    107
19	    112
20	    128
21	    240
22	    532
23	    532
24	    647
25	    904
26	    1180
27	    1601
28	    1891
29	    2199
30	    2433
31	    2915
32      3475
33      3904
34      4256
35      4579
36      5717
37      6931
38      7910
39      9056
40      10270
41      11130
42      12239
43      14049
44      15927
45      17857
46      19638
47      20727
48      22318
49      23430
50      25262
51      28320
52      30425
53      33682
54      36599
55      38654
56      40581
57      43079
58      45757
59      49492
60      52995
61      58509
62      61888
63      66501
64      71886
65      78162
66      85380
67      91589
68      96559
69      101147
70      107780
71      114715
72      125218
73      135106
74      145328
75      155939
76      162699
77      168331
78      177589
79      188974
80      202918
81      218223
82      233142
83      241080
84      254220
85      271628
86      291579
87      310087
88      330890
89      347398
90      363211
91      374898
92      391222
93      411821
94      438238
95      465166
96      498440
97      514200
98      526447
99      555383
100     584016
101     614941
102     645771
103     672846
####### NEW DATASET ########
104     691758
105     707412
106     739503
107     772416
108     802828
109     828810
110     850514
111     867624
112     888271
113     923189
114     955377
115     978142
116     1032913
